date,open,high,low,close,volume,adx,macd,macdsignal,minus_di,rsi,rsi_16,rsi_20,rsi_24,rsi_28,mfi,r_14,fisher_rsi,fisher_rsi_norma,fastd,fastk,sar,tema,sma,ema21,ema55,bb_lowerband,bb_middleband,bb_upperband,bb_width,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,senkou_span_b_kp,tenkan_minus_kijun,prev_tenkan_minus_kijun,ema100,ha_open,ha_close,ha_high,ha_low,ema_fast,cti,uo,cci_20,cci_14,roc,obv,dpo,hma_14,hma_20,natr,rocp,mom,cmf
2024-12-05 08:00:00+00:00,102235.42,103130.0,102213.64,102560.34,174.794482,,,,,,,,,,,,,,,,,,,,,,102634.65999999999,,,,,,,95898.0,,,,,102397.88,102534.85,103130.0,102213.64,,,,,,,174.794482,,,,,,,
2024-12-05 12:00:00+00:00,102560.34,103539.71,100935.47,101303.73,154.566422,,,,,,,,,,,,,,,,100935.47,,,,,101278.71406166928,102280.48166666666,103282.24927166404,0.019588636828327705,,,,,96590.41,,,,,102466.365,102084.8125,103539.71,100935.47,,,,,,,20.22806,,,,,,,
2024-12-05 16:00:00+00:00,101303.73,101996.51,98636.2,99043.69,169.576352,,,,,,,,,,,,,,,,103539.71,,,,,98637.01950780177,101484.36555555556,104331.71160330935,0.05611398430027267,,,,,97420.2,,,,,102275.58875,100245.0325,102275.58875,98636.2,101621.565,,,,,,-149.34829200000001,,,,,,,
2024-12-05 20:00:00+00:00,99036.1,99476.93,91125.56,96946.75,229.14023,,,,,,,,,,,,,,,,103539.71,,,,,93980.31505454016,100075.71083333333,106171.1066121265,0.12181568790342104,,,,,97332.19,,,,,101260.310625,96646.33499999999,101260.310625,91125.56,99133.95,,,,,,-378.488522,,,,,,,
2024-12-06 00:00:00+00:00,96945.89,98796.77,96336.05,97730.97,160.579018,,,,,,,,,,,,,,,,103043.144,,,,,93867.7558886054,99584.82133333334,105301.88677806128,0.11481800877247351,,,,,98289.73,,,,,98953.3228125,97452.42000000001,98953.3228125,96336.05,98293.185,,,,,,-217.909504,,,,,,,
2024-12-06 04:00:00+00:00,97735.79,98280.38,97372.22,98139.18,108.487459,,,,,,,,,,,,,,,,102566.44064,,,,,94020.2431233907,99309.11666666665,104597.99020994261,0.10651335387521738,,,,,100356.17,,,,,98202.87140625001,97881.8925,98280.38,97372.22,98087.53875,,,,,,-109.422045,,,,,,,
2024-12-06 08:00:00+00:00,98139.0,98694.3,97645.94,98065.44,106.880785,,,,,,,,,,,,,,57.848153893513405,63.838762941601296,102108.8054144,,,,,94232.4883237542,99141.41809523808,104050.34786672198,0.09902883912288267,,,,,101113.18,,,,,98042.381953125,98136.17,98694.3,97645.94,98111.854375,,,,,,-216.30283,,,,,,,
2024-12-06 12:00:00+00:00,98065.88,99477.36,97512.13,99309.47,104.175944,,,,,,,,,,,,,,72.77517295610006,97.98977465935488,101669.475597824,,,,,94542.01200083374,99094.53083333334,103647.04966583294,0.09188234293487821,,,,,101111.95,,,,,98089.2759765625,98591.20999999999,99477.36,97512.13,98351.5321875,,,,,,-112.126886,,,,,,,
2024-12-06 16:00:00+00:00,99309.94,101788.18,98759.11,101436.2,122.780529,,,,,,,,,,,,,,85.1242373598515,93.54417447859834,91125.56,,,,,94883.90432877447,99268.60111111111,103653.29789344776,0.08834005381880747,,,,,101024.45,,,,,98340.24298828124,100323.3575,101788.18,98340.24298828124,99337.44484375,,,,,,10.653643000000002,,,,,,,
2024-12-06 20:00:00+00:00,101428.33,101889.32,99101.87,99736.7,124.192596,,,,,,,,,,,,,,81.29301260034445,52.34508866308014,91338.8124,,,,,95186.42449989515,99366.004,103545.58350010485,0.0841249387487667,,,,,100500.65,,,,,99331.80024414061,100539.05500000001,101889.32,99101.87,99938.249921875,,,,,,-113.53895299999999,,,,,,,
